WUI_start,WUI_end,T_start,T_end,Tmax,Tmin,nb_T_anomalies,is_stratified
2019-10-01 21:00:00,2019-10-08 08:00:00,2019-10-02 21:00:00,2019-10-09 17:00:00,2019-10-01 21:00:00,2019-10-04 04:00:00,1.0,True
2019-10-15 08:00:00,2019-10-16 10:00:00,2019-10-15 22:00:00,2019-10-16 10:00:00,2019-10-15 13:00:00,2019-10-16 06:00:00,1.0,True
2019-11-07 13:00:00,2019-11-14 02:00:00,2019-11-11 05:00:00,2019-11-20 12:00:00,2019-11-07 17:00:00,2019-11-14 09:00:00,1.0,True
2019-12-06 06:00:00,2019-12-15 04:00:00,2019-12-09 22:00:00,2020-02-07 13:00:00,2019-12-07 14:00:00,2020-02-07 09:00:00,1.0,False
2020-02-10 11:00:00,2020-02-15 04:00:00,2020-02-12 21:00:00,2020-02-15 10:00:00,2020-02-11 13:00:00,2020-02-14 08:00:00,1.0,False
2020-02-17 18:00:00,2020-02-28 20:00:00,2020-02-18 20:00:00,2020-03-01 11:00:00,2020-02-18 15:00:00,2020-02-28 08:00:00,3.0,False
2020-03-02 11:00:00,2020-03-11 15:00:00,2020-03-02 20:00:00,2020-03-11 13:00:00,2020-03-02 15:00:00,2020-03-07 07:00:00,2.0,False
2020-03-13 00:00:00,2020-03-15 02:00:00,2020-03-13 21:00:00,2020-03-18 10:00:00,2020-03-13 00:00:00,2020-03-14 07:00:00,1.0,False
2020-05-01 19:00:00,2020-05-04 04:00:00,2020-05-01 19:00:00,2020-05-04 07:00:00,2020-05-01 19:00:00,2020-05-03 17:00:00,1.0,False
2020-05-23 14:00:00,2020-05-25 09:00:00,2020-05-24 03:00:00,2020-05-25 09:00:00,2020-05-23 14:00:00,2020-05-24 19:00:00,1.0,True
2020-06-04 07:00:00,2020-06-11 08:00:00,2020-06-08 01:00:00,2020-06-15 10:00:00,2020-06-04 10:00:00,2020-06-10 21:00:00,1.0,True
2020-06-13 12:00:00,2020-06-16 16:00:00,2020-06-15 18:00:00,2020-06-17 11:00:00,2020-06-15 11:00:00,2020-06-16 05:00:00,1.0,True
2020-06-18 21:00:00,2020-06-23 05:00:00,2020-06-20 07:00:00,2020-06-24 21:00:00,2020-06-19 01:00:00,2020-06-22 02:00:00,1.0,True
2020-07-01 19:00:00,2020-07-08 08:00:00,2020-07-03 02:00:00,2020-07-09 16:00:00,2020-07-01 23:00:00,2020-07-07 05:00:00,1.0,True
2020-07-14 20:00:00,2020-07-18 08:00:00,2020-07-16 11:00:00,2020-07-19 12:00:00,2020-07-15 12:00:00,2020-07-17 23:00:00,1.0,True
2020-08-01 16:00:00,2020-08-05 09:00:00,2020-08-03 05:00:00,2020-08-08 15:00:00,2020-08-01 18:00:00,2020-08-04 17:00:00,1.0,True
2020-08-22 01:00:00,2020-08-25 08:00:00,2020-08-23 15:00:00,2020-08-26 20:00:00,2020-08-22 16:00:00,2020-08-26 08:00:00,1.0,True
2020-08-28 18:00:00,2020-09-03 12:00:00,2020-08-29 06:00:00,2020-09-04 17:00:00,2020-08-28 22:00:00,2020-09-03 19:00:00,1.0,True
2020-09-24 19:00:00,2020-09-30 12:00:00,2020-09-26 10:00:00,2020-10-06 11:00:00,2020-09-24 19:00:00,2020-09-29 05:00:00,1.0,True
2020-10-06 21:00:00,2020-10-08 12:00:00,2020-10-07 19:00:00,2020-10-09 10:00:00,2020-10-07 13:00:00,2020-10-08 06:00:00,1.0,True
2020-10-09 21:00:00,2020-10-19 04:00:00,2020-10-10 22:00:00,2020-10-18 19:00:00,2020-10-10 16:00:00,2020-10-13 06:00:00,1.0,True
2020-10-26 03:00:00,2020-10-30 15:00:00,2020-10-26 22:00:00,2020-10-31 09:00:00,2020-10-26 13:00:00,2020-10-27 07:00:00,2.0,True
2020-11-16 03:00:00,2020-11-17 11:00:00,2020-11-16 22:00:00,2020-11-17 08:00:00,2020-11-16 04:00:00,2020-11-17 06:00:00,1.0,False
2020-11-18 16:00:00,2020-11-22 18:00:00,2020-11-19 20:00:00,2020-11-25 10:00:00,2020-11-18 16:00:00,2020-11-25 07:00:00,1.0,False
2020-11-28 15:00:00,2020-12-03 16:00:00,2020-12-01 01:00:00,2020-12-04 10:00:00,2020-11-29 13:00:00,2020-12-03 04:00:00,1.0,False
2020-12-08 12:00:00,2020-12-14 02:00:00,2020-12-09 00:00:00,2020-12-16 10:00:00,2020-12-08 13:00:00,2020-12-09 23:00:00,1.0,False
2020-12-24 02:00:00,2020-12-27 11:00:00,2020-12-25 03:00:00,2020-12-28 02:00:00,2020-12-24 02:00:00,2020-12-26 08:00:00,1.0,False
2021-01-09 02:00:00,2021-01-19 10:00:00,2021-01-10 19:00:00,2021-01-20 13:00:00,2021-01-09 14:00:00,2021-01-16 05:00:00,1.0,False
2021-01-22 14:00:00,2021-02-02 16:00:00,2021-01-25 22:00:00,2021-01-31 12:00:00,2021-01-24 14:00:00,2021-01-27 07:00:00,1.0,False
2021-02-10 01:00:00,2021-02-12 07:00:00,2021-02-10 23:00:00,2021-02-13 14:00:00,2021-02-10 15:00:00,2021-02-13 09:00:00,2.0,False
2021-03-08 23:00:00,2021-03-10 22:00:00,2021-03-09 22:00:00,2021-03-10 11:00:00,2021-03-09 13:00:00,2021-03-10 05:00:00,1.0,False
2021-03-13 20:00:00,2021-03-23 09:00:00,2021-03-14 22:00:00,2021-03-25 13:00:00,2021-03-14 16:00:00,2021-03-22 08:00:00,1.0,False
2021-04-04 19:00:00,2021-04-08 07:00:00,2021-04-06 19:00:00,2021-04-09 13:00:00,2021-04-04 20:00:00,2021-04-07 09:00:00,1.0,False
2021-04-11 23:00:00,2021-04-14 07:00:00,2021-04-11 23:00:00,2021-04-16 13:00:00,2021-04-11 23:00:00,2021-04-13 07:00:00,1.0,False
2021-05-01 14:00:00,2021-05-03 16:00:00,2021-05-01 19:00:00,2021-05-04 11:00:00,2021-05-01 15:00:00,2021-05-02 08:00:00,1.0,False
2021-05-11 10:00:00,2021-05-13 15:00:00,2021-05-12 00:00:00,2021-05-12 11:00:00,2021-05-11 18:00:00,2021-05-12 08:00:00,1.0,False
2021-05-16 15:00:00,2021-05-20 20:00:00,2021-05-17 00:00:00,2021-05-24 04:00:00,2021-05-16 15:00:00,2021-05-20 07:00:00,1.0,False
2021-07-07 23:00:00,2021-07-10 09:00:00,2021-07-08 18:00:00,2021-07-11 16:00:00,2021-07-08 02:00:00,2021-07-09 12:00:00,1.0,True
2021-07-12 19:00:00,2021-07-19 07:00:00,2021-07-13 03:00:00,2021-07-20 14:00:00,2021-07-12 19:00:00,2021-07-16 22:00:00,1.0,True
2021-08-15 23:00:00,2021-08-19 10:00:00,2021-08-17 03:00:00,2021-08-20 23:00:00,2021-08-16 02:00:00,2021-08-18 10:00:00,1.0,True
2021-08-22 02:00:00,2021-08-24 09:00:00,2021-08-23 17:00:00,2021-08-25 10:00:00,2021-08-22 16:00:00,2021-08-25 02:00:00,1.0,True
2021-08-25 18:00:00,2021-08-29 10:00:00,2021-08-27 04:00:00,2021-09-01 16:00:00,2021-08-26 11:00:00,2021-08-30 15:00:00,1.0,True
2021-09-18 18:00:00,2021-09-21 09:00:00,2021-09-20 20:00:00,2021-09-25 13:00:00,2021-09-18 18:00:00,2021-09-22 12:00:00,1.0,True
2021-10-04 00:00:00,2021-10-14 10:00:00,2021-10-06 21:00:00,2021-10-15 10:00:00,2021-10-04 14:00:00,2021-10-09 06:00:00,2.0,True
2021-10-21 06:00:00,2021-10-24 13:00:00,2021-10-22 05:00:00,2021-10-25 11:00:00,2021-10-21 15:00:00,2021-10-24 08:00:00,1.0,True
